code	athletes	athletes_codes
ARCXTEAM2---TPE01	"['LEI Chien-Ying', 'TAI Yu-Hsuan']"	"['1564634', '1564630']"
ARCXTEAM2---TUR01	"['GOKKIR Elif Berra', 'GAZOZ Mete']"	"['1565024', '1565000']"
ARCXTEAM2---UKR01	"['MARCHENKO Veronika', 'USACH Mykhailo']"	"['1571753', '1571766']"
ARCXTEAM2---USA01	"['KAUFHOLD Casey', 'ELLISON Brady']"	"['1955601', '1955595']"
ARCXTEAM2---UZB01	"['ABDUSATTOROVA Ziyodakhon', 'SADIKOV Amirkhon']"	"['1562602', '1562613']"
ARCXTEAM2---VIE01	"['DO Thi Anh Nguyet', 'le Quoc Phong']"	"['1563314', '1563324']"
ATHM4X100M--AUS01	"['AZZOPARDI Joshua', 'BROWNING Rohan', 'DESPARD Jacob', 'KENNEDY Lachlan', 'LAW Calab', 'SULTANA Sebastian']"	"['1939801', '1939851', '1939785', '1939812', '1939738', '1939856']"
ATHM4X100M--BRA01	"['BARDI Felipe', 'CAMILO Paulo Andre', 'CARDOSO Erik', 'CORREA Renan', 'dos SANTOS Gabriel']"	"['1951967', '1952123', '1951946', '1952132', '1951974']"
ATHM4X100M--CAN01	"['ADJIBI Eliezer', 'ASEMOTA Duan', 'BLAKE Jerome', 'BROWN Aaron', 'De GRASSE Andre', 'RODNEY Brendon']"	"['1974038', '1974049', '1974065', '1974072', '1974096', '1974289']"
ATHM4X100M--CHN01	"['CHEN Jiapeng', 'DENG Zhijian', 'WU Zhiqiang', 'XIE Zhenye', 'YAN Haibin']"	"['1918954', '1918936', '1918961', '1918943', '1918962']"
ATHM4X100M--FRA01	"['ACHI-YAO Harold', 'ERIUS Jeff', 'MATEO Pablo', 'PRIAM Aymeric', 'VERMONT Dylan', 'ZEZE Meba Mickael', 'ZEZE Ryan']"	"['1910609', '1910733', '1911843', '1911898', '1911975', '1911988', '1911990']"
ATHM4X100M--GBR01	"['AZU Jeremiah', 'HINCHLIFFE Louie', 'HUGHES Zharnel', 'KILTY Richard', 'MITCHELL-BLAKE Nethaneel']"	"['1924439', '3557190', '1924431', '1924442', '1924457']"
ATHM4X100M--GER01	"['ALMAS Deniz', 'ANSAH Owen', 'ANSAH-PEPRAH Lucas', 'HARTMANN Joshua', 'KRANZ Kevin', 'WOLF Yannick']"	"['1920083', '1920355', '1920085', '1920122', '1920252', '1920244']"
ATHM4X100M--GHA01	"['AMOAH Joseph Paul', 'AZAMATI Benjamin', 'BOTSIO Isaac', 'FUSEINI Ibrahim', 'SAMINU Abdul-Rasheed']"	"['1965714', '1964967', '1980759', '1980587', '1980783']"
ATHM4X100M--ITA01	"['ALI Chituru', 'DESALU Eseosa Fostine', 'JACOBS Lamont Marcell', 'MELLUZZO Matteo', 'PATTA Lorenzo', 'RIGALI Roberto', 'TORTU Filippo']"	"['1552156', '1552162', '1552167', '1552172', '1552173', '1568465', '1552298']"
ATHM4X100M--JAM01	"['BLAKE Ackeem', 'GORDON Jehlani', 'SEVILLE Oblique', 'THOMPSON Kishane', 'WALKER Jelani']"	"['1555502', '1959450', '1567483', '1980161', '1912116']"
ATHM4X100M--JPN01	"['HIGASHIDA Akihiro', 'KIRYU Yoshihide', 'SAKAI Ryuichiro', 'SANI BROWN Abdul Hakim', 'UEYAMA Koki', 'YANAGITA Hiroki']"	"['1919832', '1919911', '1921596', '1921599', '1921818', '1921878']"
ATHM4X100M--LBR01	"['FAHNBULLEH Joseph', 'MATADI Emmanuel', 'REEVES Jabez', 'SHERMAN John', 'SIRLEAF Akeem']"	"['1897817', '1897809', '1897821', '1897827', '1897831']"
ATHM4X100M--NED01	"['ADIGIDA Onyema', 'AFRIFA Elvis', 'BURNET Taymir', 'EKPO Nsikak', 'MO-AJOK Xavi']"	"['1972064', '1972066', '1972084', '1972040', '1972133']"
ATHM4X100M--NGR01	"['AJAYI Kayinsola', 'AKINTOLA Alaba Olukunle', 'ASHE Favour Oghene Tejiri', 'OGHENEBRUME Godson Oke']"	"['1969332', '1929250', '1969351', '1933137']"
ATHM4X100M--RSA01	"['MASWANGANYI Shaun', 'NKOANA Bradley', 'RICHARDSON Benjamin', 'SIMBINE Akani', 'WALAZA Bayanda']"	"['1981059', '4343340', '1981060', '1981055', '4339445']"
ATHM4X100M--USA01	"['BEDNAREK Kenneth', 'COLEMAN Christian', 'KERLEY Fred', 'KING Kyree', 'LINDSEY Courtney', 'LYLES Noah']"	"['1960659', '1960125', '1960958', '1965262', '1965202', '1960173']"
