code	athletes	athletes_codes
DIVW10MTEAM2PRK01	"['JO Jin Mi', 'KIM Mi Rae']"	"['1980116', '1980115']"
DIVW10MTEAM2UKR01	"['BAILO Kseniia', 'LYSKUN Sofiia']"	"['1897464', '1897466']"
DIVW10MTEAM2USA01	"['PARRATTO Jessica', 'SCHNELL Delaney']"	"['1954201', '1954207']"
DIVW3MTEAM2-AUS01	"['KEENEY Maddison', 'SMITH Anabelle']"	"['1940414', '1940401']"
DIVW3MTEAM2-CHN01	"['CHANG Yani', 'CHEN Yiwen']"	"['1901539', '1901538']"
DIVW3MTEAM2-FRA01	"['GILLET Nais', 'LANDI Juliette']"	"['1902487', '1902489']"
DIVW3MTEAM2-GBR01	"['HARPER Yasmin', 'MEW JENSEN Scarlett']"	"['1900841', '1973355']"
DIVW3MTEAM2-GER01	"['HENTSCHEL Lena', 'MULLER Jette']"	"['1907201', '1907203']"
DIVW3MTEAM2-ITA01	"['BERTOCCHI Elena', 'PELLACANI Chiara']"	"['1925641', '1925642']"
DIVW3MTEAM2-UKR01	"['KESAR Viktoriya', 'PYSMENSKA Anna']"	"['1897467', '1897468']"
DIVW3MTEAM2-USA01	"['BACON Sarah', 'COOK Kassidy']"	"['1954159', '1954168']"
EQUODRESTEAMAUS01	"['BROWN Jayden', 'MATTHEW William', 'PEARCE Simone', 'HANNA Mary']"	"['1940450', '1940474', '1940469', '1940460']"
EQUODRESTEAMAUT01	"['BACHER Florian', 'LEHFELLNER Stefan', 'MAX-THEURER Victoria', 'SCHUMACH Christian']"	"['1878961', '1878962', '1878963', '1878965']"
EQUODRESTEAMBEL01	"['de WINNE Flore', 'MICHIELS Domien', 'PAULUIS Larissa', 'DEFALQUE Charlotte']"	"['1903163', '1903165', '1903166', '1903164']"
EQUODRESTEAMCAN01	"['CARIER BERGERON Camille', 'MOREIRA LALIBERTE Naima', 'von MARTELS Chris', 'IRVING Jill']"	"['1974845', '1974883', '1974898', '1974865']"
EQUODRESTEAMDEN01	"['BACHMANN ANDERSEN Daniel', 'LAUDRUP-DUFOUR Cathrine', 'SKODBORG MERRALD Nanna', 'SLOTH Nadja Aaboe']"	"['1892359', '1892363', '1892358', '1892364']"
EQUODRESTEAMESP01	"['CARRASCOSA Borja', 'JIMENEZ COBO Juan Antonio', 'MARTIN DOCKX Jose Daniel', 'CASTILLA RUIZ Claudio']"	"['1965390', '1965411', '1965416', '1965391']"
EQUODRESTEAMFIN01	"['KANERVA Emma', 'ROBINSON Joanna', 'RUOSTE Henri', 'EHRNROOTH Elisabet']"	"['1909053', '1909056', '1909057', '1909050']"
EQUODRESTEAMFRA01	"['AYACHE Alexandre', 'BASQUIN Pauline', 'POTTIER Corentin', 'SERRE Anne Sophie']"	"['1899832', '1899834', '1899858', '1899857']"
EQUODRESTEAMGBR01	"['FRY Charlotte', 'HESTER Carl', 'MOODY Becky', 'GOULD Andrew']"	"['1970905', '1970910', '1970921', '1970907']"
EQUODRESTEAMGER01	"['von BREDOW-WERNDL Jessica', 'WANDRES Frederic', 'WERTH Isabell', 'ROTHENBERGER Soenke']"	"['1914905', '1914936', '1914909', '1914907']"
EQUODRESTEAMNED01	"['MINDERHOUD Hans Peter', 'SCHOLTENS Emmelie', 'van LIERE Dinja', 'GAL Edward']"	"['1976867', '1976873', '1976864', '1976854']"
EQUODRESTEAMPOL01	"['MILCZAREK Katarzyna', 'SKOWRONSKA-KOZUBIK Zaneta', 'SYSOJEVA Sandra', 'SZULC Aleksandra']"	"['1937738', '1937727', '1971678', '1937735']"
EQUODRESTEAMPOR01	"['VALE Antonio', 'CAETANO Maria', 'DUARTE Rita Ralao', 'MOREIRA Joao Pedro']"	"['1941544', '1941553', '1941558', '1941551']"
EQUODRESTEAMSWE01	"['KITTEL Patrik', 'NILSHAGEN Therese', 'RAMEL Juliette', 'von ESSEN Maria']"	"['1890582', '1890584', '1890586', '1890589']"
EQUODRESTEAMUSA01	"['LYLE Adrienne', 'ORLOB Marcus', 'PETERS Steffen', 'OTS Endel']"	"['1951842', '1951788', '1951852', '1951851']"
EQUOEVENTEAMAUS01	"['ROSE Shane', 'McNAB Kevin', 'BURTON Christopher', 'LOWINGS Shenae']"	"['1940467', '1940455', '1940438', '1940468']"
EQUOEVENTEAMBEL01	"['DONCKERS Karin', 'MAGNUS Tine', 'de LIEDEKERKE - MEIER Lara', 'BOON Maarten']"	"['1903178', '1903180', '1903176', '1903175']"
EQUOEVENTEAMBRA01	"['PARRO Carlos', 'MAMPRIN LOSANO Rafael', 'CARVALHO JORGE Marcio', 'FONSECA Ruy']"	"['1968081', '1968112', '1968102', '1968116']"
EQUOEVENTEAMCAN01	"['WINTER Michael', 'SLEZAK Karl', 'PHOENIX Jessica', 'LOACH Colleen']"	"['1974900', '1974890', '1974855', '1974875']"
EQUOEVENTEAMFRA01	"['LAGHOUAG Karim Florent', 'LANDOIS Stephane', 'TOUZAINT Nicolas', 'le COZ Gireg']"	"['1899846', '1899847', '1899866', '1899848']"
EQUOEVENTEAMGBR01	"['McEWEN Tom', 'COLLETT Laura', 'CANTER Rosalind', 'INGHAM Yasmin']"	"['1970917', '1970898', '1970892', '1970912']"
EQUOEVENTEAMGER01	"['KRAJEWSKI Julia', 'WAHLER Christoph', 'JUNG Michael', 'BOECKMANN Calvin']"	"['1914923', '1914927', '1914921', '1914919']"
EQUOEVENTEAMIRL01	"['ENNIS Sarah', 'BERRY Susannah', ""O'CONNOR Austin"", 'CLARK Aoife']"	"['1936611', '2779021', '1563914', '1555109']"
EQUOEVENTEAMITA01	"['SANDEI Pietro', 'BERTOLI Evelina', 'UGOLOTTI Giovanni', 'PORTALE Emiliano']"	"['1916985', '1916976', '1916988', '1916982']"
EQUOEVENTEAMJPN01	"['KITAJIMA Ryuzo', 'OIWA Yoshiaki', 'TOMOTO Kazuma', 'TANAKA Toshiyuki']"	"['1946432', '1946434', '1946438', '1946428']"
EQUOEVENTEAMNED01	"['BOONZAAIJER Janneke', 'de JONG Sanne', 'KOOREMANS Raf', 'PEN Elaine']"	"['1976843', '1976860', '1976863', '1976869']"
EQUOEVENTEAMNZL01	"['PRICE Jonelle', 'JOHNSTONE Clarke', 'PRICE Tim', 'POWELL Caroline']"	"['1939477', '1939479', '1939472', '1939485']"
EQUOEVENTEAMPOL01	"['KORYCKA Malgorzata', 'KAMINSKI Jan', 'POWALA Robert', 'KNAP Wiktoria']"	"['1937636', '1937635', '1937644', '1937640']"
EQUOEVENTEAMSUI01	"['JOHNER Melody', 'GODEL Robin', 'VOGG Felix', 'MINDER Nadja']"	"['1977663', '1976544', '1977899', '1977753']"
EQUOEVENTEAMSWE01	"['SJOBORG Sofia', 'ANDERSEN Frida', 'ROMEIKE Louise', 'ASAI Malin']"	"['1891524', '1891514', '1891523', '1891517']"
EQUOEVENTEAMUSA01	"['PAMUKCU Caroline', 'HALLIDAY Elisabeth', 'MARTIN Boyd', 'ELLIOTT Sydney']"	"['1951845', '1951829', '1951844', '1951817']"
EQUOJUMPTEAMAUS01	"['SCOTT Hilary', 'ERWIN Thaisa', 'TOPS-ALEXANDER Edwina', 'FULLER Amber']"	"['1940446', '1940471', '1940441', '1940433']"
EQUOJUMPTEAMAUT01	"['KUEHNER Max', 'PUCK Gerfried', 'RHOMBERG Katharina', 'OBERNAUER Christoph']"	"['1878970', '1878973', '1878975', '1878971']"
EQUOJUMPTEAMBEL01	"['GUERY Jerome', 'THOMAS Gilles', 'VERMEIR Wilm', 'WATHELET Gregory']"	"['1903170', '1903173', '1915378', '1903174']"
EQUOJUMPTEAMBRA01	"['PESSOA Rodrigo', 'de FREITAS BARCHA Stephan', 'MANSUR Yuri', 'VENISS Pedro']"	"['1968115', '1968118', '1968125', '1968108']"
EQUOJUMPTEAMCAN01	"['DESLAURIERS Mario', 'BALLARD Erynn', 'MILLAR Amy', 'FOSTER Tiffany']"	"['1974850', '1974835', '1974881', '1974858']"
EQUOJUMPTEAMESP01	"['ALVAREZ AZNAR Eduardo', 'ALVAREZ MOYA Sergio', 'GARCIA ROQUE Ismael', 'TRAPOTE Armando']"	"['1965384', '1965385', '1965405', '1965427']"
EQUOJUMPTEAMFRA01	"['STAUT Kevin', 'DELESTRE Simon', 'EPAILLARD Julien', 'PERREAU Olivier']"	"['1899865', '1899843', '1899845', '1899856']"
EQUOJUMPTEAMGBR01	"['BRASH Scott', 'CHARLES Harry', 'MAHER Ben', 'STOCKDALE Joseph']"	"['1970891', '1970896', '1979168', '1970925']"
EQUOJUMPTEAMGER01	"['WEISHAUPT Philipp', 'VOGEL Richard', 'KUKUK Christian', 'WARGERS Jana']"	"['1914911', '1914940', '1914912', '1914918']"
EQUOJUMPTEAMIRL01	"['COYLE Daniel', ""O'CONNOR Cian"", 'SWEETNAM Shane', 'KENNY Darragh']"	"['1563918', '1563916', '1572450', '1572451']"
EQUOJUMPTEAMISR01	"['BLUMAN Daniel', 'BOND Ashlee', 'MUHR Robin', 'RUSSEKOFF Isabella']"	"['1932666', '1932656', '1932686', '1932740']"
EQUOJUMPTEAMJPN01	"['HAASE SHIBAYAMA Takashi', 'SUGITANI Taizo', 'SATO Eiken', 'KAWAI Mike']"	"['1946429', '1946436', '1946431', '1946435']"
EQUOJUMPTEAMKSA01	"['AL DUHAMI Ramzy', 'ALRAJHI Abdulrahman', 'ALSHARBATLY Abdullah', 'ALMOBTY Khaled']"	"['1898161', '1898209', '1898199', '1898219']"
EQUOJUMPTEAMMEX01	"['AZCARRAGA Andres', 'GARZA PEREZ Eugenio', 'HANK GUERREIRO Carlos', 'FERNANDEZ Federico']"	"['1548482', '1535350', '1548487', '1535351']"
EQUOJUMPTEAMNED01	"['SMOLDERS Harrie', 'GREVE Willem', 'van der VLEUTEN Maikel', 'EMMEN Kim']"	"['1976875', '1976857', '1976879', '1976851']"
EQUOJUMPTEAMPOL01	"['GRZEGORZEWSKI Adam', 'KUBIAK Dawid', 'WECHTA Maksymilian', 'ORSCHEL Cassandra']"	"['1937806', '1937810', '1937818', '1937808']"
EQUOJUMPTEAMSUI01	"['FUCHS Martin', 'GUERDAT Steve', 'SCHWIZER Pius', 'SCHMITZ Edouard']"	"['1976530', '1976553', '1977858', '1977850']"
EQUOJUMPTEAMSWE01	"['FREDRICSON Peder', 'von ECKERMANN Henrik', 'BENGTSSON Rolf-Goran', 'BARYARD-JOHNSSON Malin']"	"['1891537', '1891535', '1891532', '1891531']"
EQUOJUMPTEAMUAE01	"['AL MARRI Abdullah Mohd', 'AL MARZOOQI Omar Abdul Aziz', 'AL KIRBI Ali Hamad', 'AL SUWAIDI Salim Ahmed']"	"['1887788', '1535693', '1913633', '1887827']"
EQUOJUMPTEAMUSA01	"['WARD McLain', 'FARRINGTON Kent', 'KRAUT Laura', 'COOK Karl']"	"['1951875', '1951819', '1951840', '1951802']"
FBLMTEAM11--ARG01	"['RULLI Geronimo', 'di CESARE Marco', 'SOLER Julio', 'GARCIA Joaquin', 'FERNANDEZ Ezequiel', 'AMIONE Bruno', 'ZENON Kevin', 'MEDINA Cristian', 'ALVAREZ Julian', 'ALMADA Thiago', 'ECHEVERRI Claudio', 'BREY Leandro', 'LUJAN Gonzalo', 'HEZZE Santiago', 'GONDOU Luciano', 'OTAMENDI Nicolas', 'SIMEONE Giuliano', 'BELTRAN Lucas']"	"['1930451', '1930372', '1930459', '1930386', '1930384', '1930237', '1930532', '1930426', '1930235', '1929998', '1930375', '1930292', '1930417', '1930405', '1930400', '1930436', '3556435', '1930249']"
FBLMTEAM11--DOM01	"['VALDEZ Xavier', 'REYES Francisco', 'BAEZ Josue', 'PUJOL Edgar', 'de LUCAS Luiyi', 'MORSCHEL Heinz', 'URENA Oscar', 'MONTES de OCA Angel', 'NUNEZ Rafael', 'AZCONA Edison', 'GONZALEZ Peter', 'URBAEZ Joao', 'BOESL Enrique', 'de la CRUZ Omar', 'MESSINA Fabian', 'LEMAIRE Nelson', 'de LEON Jose', 'LORENZO Nowend', 'JUNGBAUER Thomas']"	"['1950131', '1971698', '1950071', '1972005', '1982106', '1981864', '1972425', '1949811', '1950119', '1971668', '1975237', '1972567', '1949942', '1950058', '1949992', '1950102', '1971723', '1950107', '1950128']"
FBLMTEAM11--EGY01	"['HAMZA ALAA', 'OMAR FAYED', 'AHMED ATEF', 'AHMED EID', 'HOSSAM ABDELMAGUID', 'MOHAMED SHEHATA', 'MAHMOUD SABER', 'ZIAD KAMAL', 'OSAMA FAISAL', 'IBRAHIM ADEL', 'MOSTAFA SAAD', 'AHMED KOKA', 'KARIM EL DEBES', 'ZIZO', 'MOHAMED TAREK', 'ALI EL GABRY', 'MOHAMED ELNENY', 'BILAL MAZHAR', 'MOHAMED HAMDY']"	"['1937571', '1943237', '1904700', '1973345', '1937515', '1957067', '1957871', '1937698', '1910470', '1897384', '1958053', '1910360', '1943263', '1953552', '1957087', '1942880', '1953308', '1937362', '1957028']"
FBLMTEAM11--ESP01	"['TENAS Arnau', 'PUBILL Marc', 'MIRANDA Juan', 'GARCIA Eric', 'CUBARSI Pau', 'BARRIOS Pablo', 'LOPEZ Diego', 'TURRIENTES Benat', 'RUIZ Abel', 'BAENA Alex', 'LOPEZ Fermin', 'PACHECO Jon', 'GARCIA Joan', 'OROZ Aimar', 'GUTIERREZ Miguel', 'BERNABE Adrian', 'GOMEZ Sergio', 'OMORODION Samu', 'MOSQUERA Cristhian', 'SANCHEZ Juanlu', 'CAMELLO Sergio', 'ITURBE Alejandro']"	"['1942296', '1942269', '1942241', '1942076', '1942056', '1942037', '1942222', '1942301', '1942280', '1942033', '1942221', '1942259', '1942077', '1942257', '1942099', '1942039', '1942089', '1942256', '1942248', '1942289', '1942046', '1942104']"
FBLMTEAM11--FRA01	"['NKAMBADIO Obed', 'LUKEBA Castello', 'TRUFFERT Adrien', 'BADE Loic', 'SILDILLIA Kiliann', 'KONE Manu', 'OLISE Michael', 'AKLIOUCHE Maghnes', 'KALIMUENDO Arnaud', 'LACAZETTE Alexandre', 'DOUE Desire', 'MILLOT Enzo', 'CHOTARD Joris', 'MATETA Jean-Philippe', 'LOCKO Bradley', 'RESTES Guillaume', 'MAGASSA Soungoutou', 'CHERKI Rayan', 'MATSIMA Chrislain', 'DIOUF Andy', 'LEPENANT Johann']"	"['1900695', '1900683', '1900718', '4669223', '1900709', '1900672', '1900699', '1900626', '1900668', '1900674', '1900653', '1900694', '1900644', '3549727', '1900682', '1900702', '1900684', '1900641', '1900690', '1900651', '1900680']"
FBLMTEAM11--GUI01	"['SYLLA Soumaila', 'OULARE Naby', 'CISSE Bangaly', 'SOUMAH Mohamed', 'DOUCOURE Rayane', 'DIAWARA Amadou', 'BALDE Aliou', 'KEITA Naby', 'CAMARA Henry', 'ILAIX Moriba', 'CAMARA Ousmane', 'BAH Algassime', 'KEITA Madiou', 'DIALLO Amadou', 'CAMARA Issiaga', 'KEITA Mory', 'TOURE Abdoulaye', 'BANGOURA Sekou Tidiany', 'CAMARA Cherif']"	"['4968898', '1961541', '4968901', '1961528', '4968900', '1975465', '4968911', '1961555', '4968909', '1961561', '1975420', '1961564', '1961530', '1975454', '1975455', '1961525', '1961556', '1961554', '1961543']"
FBLMTEAM11--IRQ01	"['HUSSEIN HASAN', 'JOSEF AL IMAM', 'HUSSEIN ALI', 'SUAD NATIQ', 'AHMED HASAN', 'ZAID TAHSEEN', 'ALI JASIM', 'IBRAHIM BAYESH', 'HUSSEIN LAWEND', 'YOUSSEF AMYN', 'MUNTADHER MOHAMMED', 'KUMEL SAADI', 'KARRAR SAAD', 'KARRAR MOHAMMED', 'NIHAD MOHAMMED', 'MUNTADHER ABDULAMEER', 'MUSTAFA SAADOON', 'AYMEN HUSSEIN', 'HUSSEIN AMER']"	"['1560376', '1535776', '1558281', '1564282', '1560451', '1535910', '1535927', '1564285', '1535916', '1537336', '1535805', '1535766', '1535928', '1535929', '1535930', '1535804', '1537323', '1564284', '1535913']"
FBLMTEAM11--ISR01	"['NIR ON Omer', 'FEINGOLD Ilay', 'GOLDBERG Sean', 'LEMKIN Stav', 'REVIVO Roy', 'GANDELMAN Omri', 'DAVIDA Osher', 'AZOULAY Ethane', 'TURGEMAN Dor', 'GLOUKH Oscar', 'ABADA Liel', 'BEN HAROSH Noam', 'MADMON Elad', 'FEREDE Ayanaw', 'YONA Adi', 'ISRAELOV Or', 'SHAHAR Ido', 'ELIASI Niv', 'SASOON Roy']"	"['1956081', '1956071', '1956065', '1956147', '1956098', '1956043', '1962216', '1956075', '1956137', '1956145', '1956102', '1956045', '1950873', '1950883', '1950857', '1956058', '1956100', '1950869', '1950864']"
FBLMTEAM11--JPN01	"['KOKUBO Leobrian', 'SUZUKI Kaito', 'NISHIO Ryuya', 'SEKINE Hiroki', 'KIMURA Seiji', 'KAWASAKI Sota', 'YAMAMOTO Rihito', 'FUJITA Joel Chima', 'FUJIO Shota', 'SAITO Koki', 'HOSOYA Mao', 'NOZAWA Taishi', 'ARAKI Ryotaro', 'MITO Shunsuke', 'TAKAI Kota', 'OHATA Ayumu', 'HIRAKAWA Yu', 'SATO Kein', 'UENAKA Asahi', 'YAMADA Fuki', 'UCHINO Takashi']"	"['1953233', '1953255', '1953275', '1953227', '1953274', '1953248', '1953268', '1953267', '1953265', '1953232', '1953244', '1953256', '1953246', '1953253', '1953223', '1953241', '1953201', '1953261', '1953195', '1953231', '1953230']"
FBLMTEAM11--MAR01	"['EL KAJOUI Munir', 'HAKIMI Achraf', 'NAKACH Akram', 'BOUKAMIR Mehdi', 'TAHIF Adil', 'BOUCHOUARI Benjamin', 'BEN SEGHIR Eliesse', 'EL KHANNOUSS Bilal', 'RAHIMI Soufiane', 'AKHOMACH Ilias', 'EL OUAHDI Zakaria', 'GHANIMI Rachid', 'KECHTA Yassine', 'TARGHALLINE Oussama', 'MAOUHOUB Mehdi', 'EZZALZOULI Abde', 'EL AZZOUZI Oussama', 'RICHARDSON Amir', 'MANAOUT Haytam']"	"['1974002', '1970338', '1966721', '1965671', '1974721', '1965956', '1967241', '1966630', '1970731', '1965995', '1965809', '1965515', '1966539', '1966919', '1967172', '1966639', '1966642', '1966624', '1967053']"
FBLMTEAM11--MLI01	"['DIARRA Lassine', 'DOUCOURE Fode', 'DIALLO Hamidou', 'TOUNKARA Mamadou', 'CISSE Ibrahima', 'SACO Coli', 'SAMAKE Wilson', 'TRAORE Boubacar', 'DOUMBIA Cheickna', 'JIDDOU Salam', 'DIARRA Thiemoko', 'SISSOKHO Issouf', 'DIARRA Brahima', 'DIALLO Demba', 'CISSET Mohamed', 'COULIBALY Oumar', 'DIOMANDE Ahmed', 'DIAKITE Moussa']"	"['1573481', '1569315', '1570550', '1889116', '1570581', '1568689', '1943371', '1567378', '1568636', '1566992', '1890567', '1570583', '1568525', '1569182', '1980244', '1889613', '1567073', '1889169']"
FBLMTEAM11--NZL01	"['PAULSEN Alex', 'BOXALL Michael', 'SUTTON Sam', 'BINDON Tyler', 'SURMAN Finn', 'BELL Joe', 'GARBETT Matthew', 'OLD Ben', 'WAINE Ben', 'SINGH Sarpreet', 'RANDALL Jesse', 'SIMS Kees', 'KELLY-HEALD Lukas', 'HERDMAN Jay', 'SHERIDAN Matthew', 'CONCHIE Fin', 'BAYLISS Lachlan', 'van HATTUM Oskar', 'GILLION Liam', 'HUGHES Isaac']"	"['1944902', '1944876', '1944949', '1944960', '1944910', '1944938', '1944864', '1944887', '1944862', '1944931', '1944953', '1944921', '1944886', '1944890', '1944889', '1944923', '1944863', '1944884', '4654427', '1944952']"
FBLMTEAM11--PAR01	"['FERNANDEZ Gatito', 'NUNEZ Alan', 'de JESUS Ronaldo', 'RIVAS Daniel', 'FLORES Gilberto', 'GOMEZ Marcos', 'FERNANDEZ Marcelo', 'GOMEZ Diego', 'PARZAJUK Kevin', 'VIERA Wilder', 'GONZALEZ Enso', 'FRUTOS Rodrigo', 'CANTERO Alexis', 'BALBUENA Fabian', 'ENCISO Julio', 'ROMAN Fernando', 'CABALLERO Gustavo', 'PEREZ Marcelo', 'CARDOZO LUCENA']"	"['1935068', '1930444', '1935105', '1933379', '1933244', '1948015', '1934027', '1938422', '1933359', '1935140', '1932960', '1935072', '1930453', '1938157', '1947874', '1933133', '1948987', '1934049', '1933793']"
FBLMTEAM11--UKR01	"['YERMAKOV Georgiy', 'KRUPSKYI Illia', 'MARTYNIUK Oleksandr', 'TALOVIEROV Maksym', 'RUBCHYNSKYI Valentyn', 'SYCH Oleksii', 'OCHERETKO Oleh', 'MYKHAILENKO Mykola', 'KRASNOPIR Ihor', 'BRAHARU Maksym', 'KHLAN Maksym', 'FESIUN Kiril', 'SALIUK Volodymyr', 'SIKAN Danylo', 'VELETEN Vladyslav', 'BATAHOV Arsenii', 'FEDOR Oleh', 'KRYSKIV Dmytro']"	"['1564464', '4658111', '1564435', '1564454', '1564444', '1564453', '1564442', '1564438', '4056654', '1564420', '2395918', '1564426', '1564445', '1564448', '4658108', '1564417', '4658110', '1564430']"
FBLMTEAM11--USA01	"['SCHULTE Patrick', 'HARRIEL Nathan', 'ZIMMERMAN Walker', 'DIETZ Maximilian', 'TOLKIN John', 'BUSIO Gianluca', 'PAREDES Kevin', 'TESSMANN Tanner', 'YOW Griffin', 'BOOTH Taylor', 'AARONSON Paxten', 'ROBINSON Miles', 'McGUIRE Duncan', 'MIHAILOVIC Djordje', 'CREMASCHI Benjamin', 'McGLYNN Jack', 'WILEY Caleb', 'SLONINA Gabriel', 'ATENCIO Josh']"	"['1943839', '1943886', '1943939', '1943875', '1943924', '1943860', '1943905', '1943922', '1943937', '1943858', '1943846', '1943915', '1943895', '1943897', '1943870', '1943837', '1943931', '1943919', '1943833']"
FBLMTEAM11--UZB01	"['NEMATOV Abduvohid', 'MIRSAIDOV Saidazamat', 'KHUSANOV Abdukodir', 'ALIKULOV Khusniddin', 'HAMRALIEV Muhammadkodir', 'YULDOSHEV Ibrokhimkhalil', 'FAYZULLAEV Abbosbek', 'JIYANOV Ruslanbek', 'NORCHAEV Khusain', 'JALOLIDDINOV Jasurbek', 'URUNOV Oston', 'NAZAROV Vladimir', 'ABDIRAKHMATOV Zafarmurod', 'SHOMURODOV Eldor', 'RAKHMONALIEV Umarali', 'RAKHIMJONOV Asadbek', 'KHOLMATOV Diyor', 'BURIEV Abdurauf', 'IBRAGIMOV Ibrokhim', 'ODILOV Alisher', 'ASKAROV Bekhruzbek']"	"['1896801', '1896796', '1896792', '1896822', '1896773', '1896816', '1896768', '1896781', '1896802', '1896780', '1896883', '1896798', '1896691', '1896878', '1896807', '1896806', '1896787', '1896703', '1896774', '1896803', '1896694']"
FBLWTEAM11--AUS01	"['ARNOLD Mackenzie', 'HEYMAN Michelle', 'TORPEY Kaitlyn', 'POLKINGHORNE Clare', 'VINE Cortnee', 'GORRY Katrina', 'CATLEY Steph', 'COONEY-CROSS Kyra', 'FOORD Caitlin', 'van EGMOND Emily', 'FOWLER Mary', 'CARPENTER Ellie', 'YALLOP Tameka', 'KENNEDY Alanna', 'HUNT Clare', 'RASO Hayley', 'WHEELER Clare', 'MICAH Teagan', 'FREIER Sharn']"	"['1941487', '1941490', '1941480', '1941464', '1941467', '1941482', '1941497', '1941484', '1941458', '1941473', '1941489', '1941471', '1941498', '1941452', '1941465', '1941475', '1941466', '1941499', '1941495']"
FBLWTEAM11--BRA01	"['LORENA', 'ANTONIA', 'TARCIANE', 'RAFAELLE', 'DUDA SAMPAIO', 'TAMIRES', 'KEROLIN', 'VITORIA YAYA', 'ADRIANA', 'MARTA', 'JHENIFFER', 'TAINA', 'YASMIM', 'LUDMILA', 'THAIS', 'GABI NUNES', 'ANA VITORIA', 'GABI PORTILHO', 'PRISCILA', 'ANGELINA', 'LAUREN', 'LUCIANA']"	"['1967608', '1967575', '1967629', '1967625', '1967616', '1967626', '1967602', '1967635', '1967574', '1967617', '1967599', '1967630', '1967636', '1967612', '1967628', '1967594', '1967565', '1967593', '1967623', '1967567', '1967606', '1967607']"
FBLWTEAM11--CAN01	"['SHERIDAN Kailen', 'CARLE Gabrielle', 'BUCHANAN Kadeisha', 'VIENS Evelyne', 'QUINN', 'LACASSE Cloe', 'GROSSO Julia', 'RIVIERE Jayde', 'HUITEMA Jordyn', 'LAWRENCE Ashley', 'LEON Adriana', 'ROSE Jade', 'AWUJO Simi', 'GILLES Vanessa', 'PRINCE Nichelle', 'BECKIE Janine', 'FLEMING Jessie', ""D'ANGELO Sabrina"", 'ZADORSKY Shelina']"	"['1967225', '1967185', '1967183', '1967232', '1967218', '1967203', '1967197', '1967220', '1967200', '1967207', '1967208', '1967221', '1967180', '1967196', '1967216', '1967181', '1967194', '1967192', '1967236']"
FBLWTEAM11--COL01	"['PEREZ Catalina', 'VANEGAS Manuela', 'ARIAS Daniela', 'CARACAS Daniela', 'QUEJADA MINOTA Yirleidys', 'MONTOYA Daniela', 'PAVI Manuela', 'RESTREPO Marcela', 'RAMIREZ Mayra', 'SANTOS Leicy', 'USME Catalina', 'TAPIA Katherine', 'IZQUIERDO Ilana', 'BARON Angela', 'SALAZAR Liana', 'CARABALI Jorelyn', 'ARIAS Carolina', 'CAICEDO Linda', 'SEPULVEDA Sandra']"	"['1917583', '1918306', '1912496', '1913009', '1918063', '1917542', '1917571', '1918114', '1918067', '1918181', '1918303', '1918231', '1917364', '1912638', '1918142', '1913005', '1912502', '1912774', '1918223']"
FBLWTEAM11--ESP01	"['RODRIGUEZ Misa', 'BATLLE Ona', 'ABELLEIRA Teresa', 'PAREDES Irene', 'HERNANDEZ Oihane', 'BONMATI Aitana', 'del CASTILLO Athenea', 'CALDENTEY Mariona', 'PARALLUELO Salma', 'HERMOSO Jennifer', 'PUTELLAS Alexia', 'GUIJARRO Patri', 'COLL Cata', 'ALEIXANDRI Laia', 'NAVARRO Eva', 'CODINA Laia', 'GARCIA Lucia', 'CARMONA Olga', 'LOPEZ Vicky', 'MENDEZ Maria', 'REDONDO Alba', 'LETE Elene']"	"['1960065', '1959961', '1959947', '1960048', '1960008', '1959965', '1959980', '1959967', '1960046', '1960006', '1960058', '1960005', '1959976', '1959949', '1960038', '1959975', '1959997', '1959973', '1960019', '1960030', '1960064', '1960015']"
FBLWTEAM11--FRA01	"['PICAUD Constance', 'LAKRAR Maelle', 'RENARD Wendie', 'CASCARINO Estelle', 'de ALMEIDA Elisa', 'HENRY Amandine', 'KARCHAOUI Sakina', 'GEYORO Grace', 'le SOMMER Eugenie', 'CASCARINO Delphine', 'DIANI Kadidiatou', 'KATOTO Marie-Antoinette', 'BACHA Selma', 'TOLETTI Sandie', 'DALI Kenza', 'PEYRAUD-MAGNIN Pauline', 'BALTIMORE Sandy', 'MBOCK BATHY Griedge', 'BECHO Vicki', 'PERISSET Eve']"	"['1930119', '1930124', '1930130', '1930121', '1930122', '1930141', '1930123', '1930140', '1930161', '1930155', '1930156', '1930160', '1930133', '1930147', '1930136', '1930118', '1930151', '1930126', '1930152', '1930129']"
FBLWTEAM11--GER01	"['FROHMS Merle', 'LINDER Sarai', 'HENDRICH Kathrin', 'SCHULZE SOLANO Bibiane', 'HEGERING Marina', 'MINGE Janina', 'SCHUELLER Lea', 'LOHMANN Sydney', 'NUESKEN Sjoeke', 'FREIGANG Laura', 'POPP Alexandra', 'BERGER Ann-Katrin', 'DOORSOUN Sara', 'SENSS Elisa', 'GWINN Giulia', 'BRAND Jule', 'BUEHL Klara', 'ENDEMANN Vivien', 'RAUCH Felicitas', 'ANYOMI Nicole']"	"['1880591', '1880576', '1880566', '1880606', '1880595', '1880574', '1880572', '1880581', '1880584', '1880573', '1880564', '1880602', '1880565', '1880609', '1880575', '1880592', '1880583', '1880610', '1880571', '1880578']"
